Question:
Where can I find code references in papers that have used the Pointer + Coverage + EntailmentGen + QuestionGen model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
        ?paper orkgp:P30?cont.
        ?cont orkgp:P31?benchmark.
        ?benchmark orkgp:P7046?model.
        ?model rdfs:label?model_lbl.
        ?model_lbl rdfs:label?model.
         FILTER(REGEX(?model_lbl, "Pointer + Coverage + EntailmentGen + QuestionGen"))
        ?cont orkgp:P32?paper.
        ?paper orkgp:P7045?code.
     }<|eot_id|>
