Question:
List the metrics that are used to evaluate models on the Atari 2600 HERO benchmark dataset?

Generated SPARQL:
 SELECT?metric?metric_lbl
     WHERE {
      ?dataset       a                orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
       FILTER (str(?dataset_lbl) = "Atari 2600 HERO")
      ?benchmark      orkgp:HAS_DATASET      ?dataset;
                      orkgp:HAS_EVALUATION   ?eval.
      ?eval           orkgp:HAS_METRIC        ?metric;
                      orkgp:HAS_VALUE         ?value.
      ?metric         rdfs:label              ?metric_lbl.
      ?cont          orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         rdfs:label               ?cont_lbl.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?model        rdfs:label               ?model_lbl.
      ?model       orkgp:HAS_TRAIN_SET      ?trainset.
      ?trainset    rdfs:label               ?trainset_lbl.
      ?trainset   orkgp:HAS_TEST_SET       ?testset.
      ?testset     rdfs:label               ?testset_lbl.
      ?testset    orkgp:HAS_EVALUATION     ?eval.
      ?cont         orkgp:P31               ?cont_lbl.
      ?cont         orkgp:P31               ?model_lbl.
      ?cont         orkgp:P31               ?trainset_lbl.
      ?cont         orkgp:P31               ?testset_lbl.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         orkgp:P31               ?cont_lbl.
      ?cont         orkgp:P31               ?model_lbl.
      ?cont         orkgp:P31               ?trainset_lbl.
      ?cont         orkgp:P31               ?testset_lbl.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         orkgp:P31               ?cont_lbl.
      ?cont         orkgp:P31               ?model_lbl.
      ?cont         orkgp:P31               ?trainset_lbl.
      ?cont         orkgp:P31               ?testset_lbl.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         orkgp:P31               ?cont_lbl.
      ?cont         orkgp:P31               ?model_lbl.
      ?cont         orkgp:P31               ?trainset_lbl.
      ?cont         orkgp:P31               ?testset_lbl.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         orkgp:P31               ?cont_lbl.
      ?cont         orkgp:P31               ?model_lbl.
      ?cont         orkgp:P31               ?trainset_lbl.
      ?cont         orkgp:P31               ?testset_lbl.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont
