Question:
Where can I find code references in papers that have used the PNDec model for benchmarking purposes?

Generated SPARQL:
 SELECT?code
     WHERE {
      ?paper       a            orkgc:Paper;
                  rdfs:label  ?paper_lbl.
       FILTER (str(?paper_lbl) = "PNDec")
      ?benchmark      orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?code          rdfs:label              ?code_lbl.
       FILTER (str(?code_lbl) = "code reference")
      ?paper       orkgp:HAS_SOURCE_CODE     ?code.
      ?code        rdfs:label              ?code_lbl.
      ?code_lbl    rdfs:label              ?code_lbl.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont           orkgp:HAS_SOURCE_CODE     ?code.
      ?cont
