Question:
Who has contributed to the largest number of articles about coronavirus?

Generated SPARQL:
 SELECT?contributor?contributor_lbl
     WHERE {
      ?contributor       a            orkgc:Contributor;
                        rdfs:label      ?contributor_lbl.
      ?paper           orkgp:HAS_CONTRIBUTOR      ?contributor.
      ?cont          rdfs:label              ?cont_lbl.
       FILTER (str(?cont_lbl) = "coronavirus")
      ?cont         orkgp:P30               ?cont_gen.
      ?cont_gen     rdfs:label              ?cont_gen_lbl.
      ?cont_gen     orkgp:P31               ?cont_spat.
      ?cont_spat    rdfs:label              ?cont_spat_lbl.
      ?cont         orkgp:P32               ?cont_cof.
      ?cont_cof     rdfs:label              ?cont_cof_lbl.
      ?cont         orkgp:P33               ?cont_pub.
      ?cont_pub    rdfs:label              ?cont_pub_lbl.
      ?cont         orkgp:P34               ?cont_auth.
      ?cont_auth   rdfs:label              ?cont_auth_lbl.
      ?cont         orkgp:P35               ?cont_fund.
      ?cont_fund    rdfs:label              ?cont_fund_lbl.
      ?cont         orkgp:P36               ?cont_coll.
      ?cont_coll   rdfs:label              ?cont_coll_lbl.
      ?cont         orkgp:P37               ?cont_ed.
      ?cont_ed      rdfs:label              ?cont_ed_lbl.
      ?cont         orkgp:P38               ?cont_cit.
      ?cont_cit     rdfs:label              ?cont_cit_lbl.
      ?cont         orkgp:P39               ?cont_pat.
      ?cont_pat    rdfs:label              ?cont_pat_lbl.
      ?cont         orkgp:P40               ?cont_pro.
      ?cont_pro    rdfs:label              ?cont_pro_lbl.
      ?cont         orkgp:P41               ?cont_met.
      ?cont_met     rdfs:label              ?cont_met_lbl.
      ?cont         orkgp:P42               ?cont_gen.
      ?cont         orkgp:P43               ?cont_spat.
      ?cont         orkgg:P44               ?cont_cof.
      ?cont         orkgg:P45               ?cont_pub.
      ?cont         orkgg:P46               ?cont_auth.
      ?cont         orkgg:P47               ?cont_fund.
      ?cont         orkgg:P48               ?cont_coll.
      ?cont         orkgg:P49               ?cont_ed.
      ?cont         orkgg:P50               ?cont_cit.
      ?cont         orkgg:P51               ?cont_pat.
      ?cont         orkgg:P52               ?cont_pro.
      ?cont         orkgg:P53               ?cont_met.
      ?cont         orkgg:P54               ?cont_gen.
      ?cont         orkgg:P55               ?cont_spat.
      ?cont         orkgg:P56               ?cont_cof.
      ?cont         orkgg:P57               ?cont_pub.
      ?cont         orkgg:P58               ?cont_auth.
      ?cont         orkgg:P59               ?cont_fund.
      ?cont         orkgg:P60               ?cont_coll.
      ?cont         orkgg:P61               ?cont_ed.
      ?cont         orkgg:P62               ?cont_cit.
      ?cont         orkgg:P63               ?cont_pat.
      ?cont         orkgg:P64               ?cont_pro.
      ?cont         orkgg:P65               ?cont_met.
      ?cont         orkgg:P66               ?cont_gen.
      ?cont         orkgg:P67               ?cont_spat.
      ?cont         orkgg:P68               ?cont_cof.
      ?cont         orkgg:P69               ?cont_pub.
      ?cont         orkgg:P70               ?cont_auth.
      ?cont         orkgg:P71               ?cont_fund.
      ?cont         orkgg:P72               ?cont_coll.
      ?cont         orkgg:P73               ?cont_ed.
      ?cont         orkgg:P74               ?cont_cit
