Question:
List the code links in papers that use the 12-layer Transformer-XL model in any benchmark?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?code.
      ?code orkgp:P5049?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "12-layer Transformer-XL"))
      ?paper orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:P5048?eval.
      ?eval orkgp:P5139?implementation.
      ?implementation orkgp:P5046?code.
     }<|eot_id|>
