Question:
Where can I find code references in papers that have used the DQNMMCe+SR model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?code.
      ?paper orkgp:P5009?eval.
      ?eval orkgp:HAS_EVALUATION?eval_eval.
      ?eval_eval orkgp:P5040?benchmark.
      ?benchmark orkgp:P5041?cont.
      ?cont orkgp:HAS_IMPLEMENTATION?impl.
      ?impl orkgp:P5042?method.
       FILTER(REGEX(?method, "DQNMMCe+SR"))
     }<|eot_id|>
