Question:
Where can I find code references in papers that have used the AxCell model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P34?code.
      ?code rdfs:label?code_lbl.
       FILTER(REGEX(?code_lbl, "AxCell"))
      ?contrib orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:P4009?eval.
      ?eval orkgp:P43149?implementation.
      ?implementation orkgp:P43148?dataset.
      ?dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "benchmark"))
     }<|eot_id|>
