Question:
Where can I find code references in papers that have used the MPAD-path model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?code.
      ?code rdfs:label?code_lbl.
       FILTER(REGEX(?code_lbl, "MPAD-path"))
      ?contrib orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:P5009?eval.
      ?eval orkgp:P43135?implementation.
      ?implementation orkgp:HAS_IMPLEMENTATION?impl_impl.
       FILTER(REGEX(?impl_impl, "MPAD-path"))
     }<|eot_id|>
