Question:
What evaluation metrics are commonly used when benchmarking models on the ARC-PDN dataset?

Generated SPARQL:
 SELECT DISTINCT?metric?metric_lbl
     WHERE {
      ?dataset       a                orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
       FILTER (str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               && str(?dataset_lbl      = "ARC-PDN")
               &&
