Question:
Where can I find code references in papers that have used the Past Decode Reg. + AWD-LSTM-MoS + dyn. eval. model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P32?paper.
      ?paper orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:P15?eval.
      ?eval orkgp:P31?cont.
      ?cont orkgp:HAS_EVALUATION?eval.
      ?eval orkgp:P5047?code.
      ?code rdfs:label?code.
       FILTER(REGEX(?code, "Past Decode Reg. + AWD-LSTM-MoS + dyn. eval."))
     }<|eot_id|>
