Question:
Where can I find code references in papers that have used the SRU++ Base model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P34?eval.
      ?eval orkgp:HAS_EVALUATION?eval_eval.
      ?eval_eval rdfs:label?eval_label.
       FILTER(REGEX(?eval_label, "SRU++ Base"))
      ?eval orkgp:P4009?implementation.
      ?implementation orkgp:HAS_IMPLEMENTATION?implementation_impl.
      ?implementation_impl orkgp:HAS_CODE?code.
       FILTER(REGEX(?code, "https?://"))
     }<|eot_id|>
