Question:
What is the best performing model benchmarking the CIFAR-10 Image Classification dataset in terms of Percentage error metric?

Generated SPARQL:
 SELECT?model?model_lbl
     WHERE {
      ?dataset       a                orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
       FILTER (str(?dataset_lbl) = "CIFAR-10 Image Classification")
      ?benchmark      orkgp:HAS_DATASET      ?dataset;
                      orkgp:HAS_EVALUATION   ?eval.
      ?eval           orkgp:HAS_VALUE        ?value;
                      orkgp:HAS_METRIC        ?metric.
      ?metric         rdfs:label              ?metric_lbl.
      ?cont          orkgp:HAS_BENCHMARK     ?benchmark;
                      orkgp:HAS_MODEL         ?model.
      ?model        rdfs:label              ?model_lbl.
      ?model      orkgp:HAS_METRIC        ?value.
      ?value      rdfs:label              ?percentage_lbl.
      ?percentage_lbl           a                orkgp:PercentageError.
      ?percentage      orkgp:HAS_VALUE        ?value.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont_lbl      orkgp:HAS_EVALUATION   ?eval.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?cont         orkgp:HAS_VALUE        ?value.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?cont         orkgp:HAS_VALUE        ?value.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?cont         orkgp:HAS_VALUE        ?value.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgg:HAS_METRIC        ?metric.
      ?cont         orkgp:HAS_VALUE        ?value.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?cont         orkgp:HAS_VALUE        ?value.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?cont         orkgp:HAS_VALUE        ?value.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?cont         orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_METRIC        ?metric.
      ?cont         orkgp:HAS_VALUE        ?value.
      ?cont         orkgp:HAS_MODEL         ?model.
      ?cont
