Question:
Which model has achieved the highest RE+ Micro F1 score on the CoNLL04 benchmark dataset?

Generated SPARQL:
 SELECT?model?model_lbl
     WHERE {
      ?dataset       a                orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
       FILTER (str(?dataset_lbl) = "CoNLL04")
      ?benchmark      orkgp:HAS_DATASET      ?dataset;
                      orkgp:HAS_EVALUATION   ?eval.
      ?eval           orkgp:HAS_VALUE        ?value;
                      orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         orkgp:HAS_EVALUATION   ?eval;
                    rdfs:label              ?cont_lbl.
      ?value        rdfs:label              ?value_lbl.
      ?model      orkgp:HAS_EVALUATION   ?eval;
                  orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?model      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model_lbl.
      ?cont      orkgp:HAS_MODEL        ?cont.
      ?cont      rdfs:label              ?model
