Question:
Where can I find code references in papers that have used the Past Decode Reg. + AWD-LSTM-MoS + dyn. eval. model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?code.
      ?code rdfs:label?code_lbl.
       FILTER(REGEX(STR(?code_lbl), "Past Decode Reg. + AWD-LSTM-MoS + dyn. eval."))
      ?contrib orkgp:P31?paper.
      ?paper orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:P31?eval.
      ?eval orkgp:P5043?cont.
      ?cont orkgp:P5042?method.
      ?method rdfs:label?method_lbl.
       FILTER(REGEX(STR(?method_lbl), "Past Decode Reg. + AWD-LSTM-MoS"))
     }<|eot_id|>
