Question:
Where can I find code references in papers that have used the All-attention network - 18 layers model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?code.
      ?code rdfs:label?code_lbl.
       FILTER(REGEX(STR(?code_lbl), "All-attention network - 18 layers"))
      ?contrib orkgp:P43135?implementation.
      ?implementation orkgp:P2009?eval.
      ?eval orkgp:P2008?benchmark.
      ?benchmark rdfs:label?benchmark_lbl.
       FILTER(REGEX(STR(?benchmark_lbl), "benchmark"))
     }<|eot_id|>
