Question:
Provide a list of papers that have utilized the CRF with sentence expansion model and include the links to their code?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:HAS_SOURCE_CODE?code.
      ?code rdfs:label?code_lbl.
       FILTER(REGEX(?code_lbl, "CRF with sentence expansion"))
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "CRF with sentence expansion"))
      ?paper orkgp:P27?paper_lbl.
       FILTER(REGEX(?paper_lbl, " papers with"))
     }<|eot_id|>
