Question:
What is Raman spectroscopy?

Generated SPARQL:
SELECT DISTINCT ?paper ?paper_lbl
    WHERE {
      ?paper orkgp:P31 ?contribution.
      ?contribution orkgp:P33004 ?spectroscopy.
      ?spectroscopy orkgp:P33005 ?spectroscopy_lbl.
      ?spectroscopy orkgp:P33006 ?spectroscopy_type.
      ?spectroscopy_type orkgp:P33007 ?spectroscopy_type_lbl.
      ?spectroscopy_type orkgp:P33008 ?spectroscopy_type_uri.
      ?spectroscopy_type_lbl rdfs:label ?spectroscopy_type_lbl_en.
      ?spectroscopy_type_uri rdfs:label ?spectroscopy_type_uri_en.
      ?paper orkgp:P31 ?contribution.
      ?contribution orkgp:P33004 ?spectroscopy.
      ?spectroscopy orkgp:P33005 ?spectroscopy_lbl.
      ?spectroscopy_lbl rdfs:label ?spectroscopy_lbl_en.
      ?spectroscopy_type orkgp:P33007 ?spectroscopy_type.
      ?spectroscopy_type orkgp:P33008 ?spectroscopy_type_uri.
      ?spectroscopy_type_lbl rdfs:label ?spectroscopy_type_lbl_en.
      ?spectroscopy_type_uri rdfs:label ?spectroscopy_type_uri_en.
      ?spectroscopy_type_lbl_en = "Raman spectroscopy"^^xsd:string.
      ?spectroscopy_type_uri_en = "https://rdfs.org/ns/vo#Raman_spectroscopy"^^xsd:string.
      ?spectroscopy_lbl_en = "Raman spectroscopy"^^xsd:string.
      ?spectroscopy_type_lbl_en = "Raman spectroscopy"^^xsd:string.
      ?spectroscopy_type_uri_en = "https://rdfs.org/ns/vo#Raman_spectroscopy"^^xsd:string.
      ?spectroscopy_type_lbl_en = "Raman spectroscopy"^^xsd:string.
      ?spectroscopy_type_uri_en = "https://rdfs.org/ns/vo#Raman_spectroscopy"^^xsd:string.
      ?spectroscopy_type_lbl_en = "Raman spectroscopy"^^xsd:string.
      ?spectroscopy_type_uri_en = "https://rdfs.org/ns/vo#Raman_spectroscopy"^^xsd:string.
      ?spectroscopy_type_lbl_en = "Raman spectroscopy"^^xsd:string.
      ?spectroscopy_type_uri_en = "https://rdfs.org/ns/vo#Raman_spectroscopy"^^xsd:string.
      ?spectroscopy_type_lbl_en = "Raman spectroscopy"^^xsd:string.
      ?spectroscopy_type_uri_en = "https://rdfs.org/ns/vo#Raman_spectroscopy"^^xsd:string.
      ?spectroscopy_type_lbl_en = "Raman spectroscopy"^^xsd:string.
      ?spectroscopy_type_uri_en = "https://rdfs.org/ns/vo#Raman_spectroscopy"^^xsd:string.
      ?spectroscopy_type_lbl_en = "Raman spectroscopy"^^xsd:string.
      ?spectroscopy_type_uri_en = "https://rdfs.org/ns/vo#Raman_spectroscopy"^^xsd:string.
      ?spectroscopy_type_lbl_en = "Raman spectroscopy"^^xsd:string.
      ?spectroscopy_type_uri_en = "https://rdfs.org/ns/vo#Raman_spectroscopy"^^xsd:string.
      ?spectroscopy_type_lbl_en = "Raman spectroscopy"^^xsd:string.
      ?spectroscopy_type_uri_en = "https://rdfs.org/ns/vo#Raman_spectroscopy"^^xsd:string.
      ?spectroscopy_type_lbl_en
