Question:
Provide a list of papers that have utilized the BiT-S (ResNet) model and include the links to their code?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?code.
      ?code orkgp:P5009?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "BiT-S (ResNet)"))
      ?contrib orkgp:HAS_METHOD?method.
      ?method orkgp:P5008?implementation.
      ?implementation orkgp:P7002?eval.
      ?eval orkgp:P5041?dataset.
      ?dataset orkgp:P5003?has_dataset.
       FILTER(REGEX(?has_dataset, "Twin-Action"))
     }<|eot_id|>
