Question:
Provide a list of papers that have utilized the A3C FF hs model and include the links to their code?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?code.
      ?paper orkgp:P37530?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "A3C FF hs"))
      ?contrib orkgp:P37529?eval.
      ?eval orkgp:P37528?benchmark.
      ?benchmark orkgp:P37527?implementation.
      ?implementation orkgp:HAS_SOURCE_CODE?code.
     }<|eot_id|>
