Question:
Provide a list of papers that have utilized the CRF with sentence expansion model and include the links to their code?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:HAS_SOURCE_CODE?code.
      ?paper orkgp:P32?model.
      ?model rdfs:label?model_labels.
       FILTER(REGEX(?model_labels, "CRF with sentence expansion"))
      ?paper orkgp:P27?paper_to_model.
      ?paper orkgp:P29?dataset.
      ?dataset rdfs:label?dataset_labels.
       FILTER(REGEX(?dataset_labels, ".*"))
     }<|eot_id|>
