Question:
Indicate the model that performed best in terms of Pearson Correlation metric on the MedSTS benchmark dataset?

Generated SPARQL:
 PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX wdt: <http://www.wikidata.org/prop/direct/>
     PREFIX wd: <http://www.wikidata.org/entity/>
     PREFIX p: <http://www.wikidata.org/prop/>
     PREFIX q: <http://www.wikidata.org/query/>
     PREFIX sparql: <http://www.w3.org/TR/sparql/#>
     SELECT?model 
     WHERE {
       ?model wdt:P31 wd:Q162234. # entity:Model
       ?model wdt:P166 wd:Q202281. # entity:PearsonCorrelationMetric
       ?model wdt:P275 wd:Q202282. # entity:Benchmark
       ?model wdt:P2752 wd:Q202283. # entity:MedSTS
       ?model wdt:P162 wd:Q202284. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202285. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202286. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202287. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202288. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202289. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202290. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202291. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202292. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202293. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202294. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202295. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202296. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202297. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202298. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202299. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202300. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202301. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202302. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202303. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202304. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202305. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202306. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202307. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202308. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202309. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202310. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202311. # entity:PearsonCorrelationMetricValue
       ?model wdt:P162 wd:Q202312. # entity:PearsonCorrelationMetricValue
       ?model wdt:P
