Question:
What is the best performing model benchmarking the X-Sum dataset in terms of ROUGE-2 metric?

Generated SPARQL:
 PREFIX orkg: <http://www.openresearch.org/orwg/>
     PREFIX wot: <http://www.wot SemanticWeb.org/2008/01/wot#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX schema: <http://schema.org/>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX dbpedia-labs: <http://dbpedia-labs.org/ontology/>
     PREFIX schema-rouge: <http://schema.org/ROUGE#>
     SELECT?model?metric 
     WHERE {
       ?model schema:describes?dataset.
       ?dataset schema:hasMetric?metric.
       ?metric schema:metricType "ROUGE-2".
       ?model schema:describes <http://www.openresearch.org/orwg/datasets/X-Sum>.
       ?metric schema:metricValue?value.
        FILTER (STRLENC(?metricValue) = "best")
        BIND (STR(?metricValue) AS?metricValue) 
     } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END
