Question:
Where can I find code references in papers that have used the Past Decode Reg. + AWD-LSTM-MoS + dyn. eval. model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
        ?paper orkgp:P31?cont.
        ?cont orkgp:P32?paper.
        ?paper orkgp:P37590?eval.
        ?eval orkgp:P37591?model.
        ?model rdfs:label?model_lbl.
         FILTER(REGEX(?model_lbl, "Past Decode Reg. + AWD-LSTM-MoS + dyn. eval.")
        ?paper orkgp:P37590?eval.
        ?eval orkgp:P37592?code.
     }<|eot_id|>
